,query,type,gold_uid
707,can a student lender consider my age when deciding if i need credit?,paraphrase,cgE53hp4LqyHuzfbxr9zBH
708,give me credit,keyword,cgE53hp4LqyHuzfbxr9zBH
709,student lender,keyword,cgE53hp4LqyHuzfbxr9zBH
710,how does a student loan lender consider whether they can get a loan using public assistance funds?,paraphrase,5RJEJL2yvdisXCzxT5zqUz
711,can i get a student loan if i have income from a public assistance program?,paraphrase,5RJEJL2yvdisXCzxT5zqUz
712,does the student loan lender consider whether i earn from a public assistance program when deciding whether to grant me a loan?,paraphrase,5RJEJL2yvdisXCzxT5zqUz
713,public assistance program,keyword,5RJEJL2yvdisXCzxT5zqUz
714,student loan,keyword,5RJEJL2yvdisXCzxT5zqUz
715,can a student loan be given based on sex or marital status?,paraphrase,3avLspZxpiJDMH8oqpJyEr
716,can a student loan lender consider my sex status when deciding whether to give me a student loan?,paraphrase,3avLspZxpiJDMH8oqpJyEr
717,can a student lender check my sex status or marital status when deciding whether to give me a student loan?,paraphrase,3avLspZxpiJDMH8oqpJyEr
718,student loan,keyword,3avLspZxpiJDMH8oqpJyEr
719,sex or marital,keyword,3avLspZxpiJDMH8oqpJyEr
720,i cashed a check at my bank but later found the check to be fraudulent do i have to repay the bank?,paraphrase,W7fnYwUQZtXPh6xjpzXosX
721,i have cashed a check at my bank  credit union but the check was found to be fraudulent do i have to repay the bank  credit union?,paraphrase,W7fnYwUQZtXPh6xjpzXosX
722,credit union,keyword,W7fnYwUQZtXPh6xjpzXosX
723,credit,keyword,W7fnYwUQZtXPh6xjpzXosX
724,can a creditor turn down a student loan application in my own name?,paraphrase,E2d5mTFLvskQytoVirMTus
725,can a creditor turn down my student loan application in my own name?,paraphrase,E2d5mTFLvskQytoVirMTus
726,if i married how can the creditor refuse to give me my application for a student loan in my own name?,paraphrase,E2d5mTFLvskQytoVirMTus
727,creditor turn,keyword,E2d5mTFLvskQytoVirMTus
728,student loan,keyword,E2d5mTFLvskQytoVirMTus
729,can the creditor ask me about my spouse or former spouse?,paraphrase,RdUHbLmpKkSv3qR55cjrh7
730,can a creditor ask me about my spouse or former spouse?,paraphrase,RdUHbLmpKkSv3qR55cjrh7
731,i am a married or had a prior married relationship and i am applying for my own student loan can a creditor ask me about my spouse or former spouse?,paraphrase,RdUHbLmpKkSv3qR55cjrh7
732,student loan,keyword,RdUHbLmpKkSv3qR55cjrh7
733,previously married,keyword,RdUHbLmpKkSv3qR55cjrh7
734,how can you ask the creditor about your child support child support payments?,paraphrase,m6XtuDNjV4q98MuEfHtnBG
735,can i ask a creditor about my child support and child support payments?,paraphrase,m6XtuDNjV4q98MuEfHtnBG
736,can a creditor ask me about the alimony child support payments?,paraphrase,m6XtuDNjV4q98MuEfHtnBG
737,separate maintenance payments,keyword,m6XtuDNjV4q98MuEfHtnBG
738,child support,keyword,m6XtuDNjV4q98MuEfHtnBG
739,what should i do if i receive an email from my bank?,paraphrase,gbLUEDBAbg6Ek4yD7tyX6X
740,how do i verify my bank account information?,paraphrase,gbLUEDBAbg6Ek4yD7tyX6X
741,what should i do if my bank or credit union has asked me to verify my account?,paraphrase,gbLUEDBAbg6Ek4yD7tyX6X
742,account information,keyword,gbLUEDBAbg6Ek4yD7tyX6X
743,received an email,keyword,gbLUEDBAbg6Ek4yD7tyX6X
744,should i consider the income provided by my co-signer for an application for an undergraduate student loan in addition to the benefits that he or she receives as a result of his or,paraphrase,W6BKAhQqH2v7USzvqyBoEx
745,does a creditor have to account for student loan payments if they have alimony or child support?,paraphrase,W6BKAhQqH2v7USzvqyBoEx
746,is there any legal basis for a creditor to consider alimony income?,paraphrase,W6BKAhQqH2v7USzvqyBoEx
747,student loan,keyword,W6BKAhQqH2v7USzvqyBoEx
748,alimony or child,keyword,W6BKAhQqH2v7USzvqyBoEx
749,can a creditor ask me about my children?,paraphrase,XdcSkupALdvbGhdFTumNYA
750,can a creditor ask about my children or dependents?,paraphrase,XdcSkupALdvbGhdFTumNYA
751,can a creditor ask me about my children or dependents or my co-signer's children?,paraphrase,XdcSkupALdvbGhdFTumNYA
752,student loan,keyword,XdcSkupALdvbGhdFTumNYA
753,children or dependents,keyword,XdcSkupALdvbGhdFTumNYA
754,can a creditor consider my part-time income for retirement?,paraphrase,D26tMaoH8KeNmhuPrSwT74
755,should a creditor consider part-time or retirement income as income?,paraphrase,D26tMaoH8KeNmhuPrSwT74
756,do creditors have to consider retirement income?,paraphrase,D26tMaoH8KeNmhuPrSwT74
757,retirement income,keyword,D26tMaoH8KeNmhuPrSwT74
758,part-time or retirement,keyword,D26tMaoH8KeNmhuPrSwT74
759,is it really necessary for my spouse to sign my student loan agreement?,paraphrase,N5hJV3hq5scQhEgnJNu7da
760,my creditor told me my spouse had to sign the student loan agreement with me is this correct?,paraphrase,N5hJV3hq5scQhEgnJNu7da
761,my creditor said my husband has to cosign my student loan agreement is this true?,paraphrase,N5hJV3hq5scQhEgnJNu7da
762,student loan agreement,keyword,N5hJV3hq5scQhEgnJNu7da
763,loan agreement,keyword,N5hJV3hq5scQhEgnJNu7da
764,can a creditor require a spouse to be the co-signer on a loan?,paraphrase,kR6ahPBsNQ3RSHUUheQ97o
765,how can a creditor determine if we need a co-signer on a student loan?,paraphrase,kR6ahPBsNQ3RSHUUheQ97o
766,can a creditor require that there be a co-signer in my student loan?,paraphrase,kR6ahPBsNQ3RSHUUheQ97o
767,student loan,keyword,kR6ahPBsNQ3RSHUUheQ97o
768,creditor require,keyword,kR6ahPBsNQ3RSHUUheQ97o
769,should i contact a dealer?,paraphrase,mX6kySdqmYTQHJiEDEzirm
770,what if a car dealer or lender breaks the law?,paraphrase,mX6kySdqmYTQHJiEDEzirm
771,how should i contact my car dealer who has been violating the law?,paraphrase,mX6kySdqmYTQHJiEDEzirm
772,violating the law,keyword,mX6kySdqmYTQHJiEDEzirm
773,auto dealer,keyword,mX6kySdqmYTQHJiEDEzirm
774,what is amortization?,paraphrase,n7C9GYP7HV5riGSyScFGvN
775,how does amortization affect a car loan?,paraphrase,n7C9GYP7HV5riGSyScFGvN
776,how does amortization affect your loan?,paraphrase,n7C9GYP7HV5riGSyScFGvN
777,auto loan,keyword,n7C9GYP7HV5riGSyScFGvN
778,affect my auto,keyword,n7C9GYP7HV5riGSyScFGvN
779,tell me the cash value as well as its correlation with other attributes?,paraphrase,RxKtN6YWX9CCCP9XhDSfax
780,tell me the actual cash value of an achv?,paraphrase,RxKtN6YWX9CCCP9XhDSfax
781,what is real cash value?,paraphrase,RxKtN6YWX9CCCP9XhDSfax
782,Actual Cash,keyword,RxKtN6YWX9CCCP9XhDSfax
783,ACV,keyword,RxKtN6YWX9CCCP9XhDSfax
784,what should i do if someone buys something i'm selling online and sends me a check for more than the price of the item and asks me to send the difference back to them?,paraphrase,gFZYLQnUCmE2R4XA7vtJkg
785,selling online,keyword,gFZYLQnUCmE2R4XA7vtJkg
786,check or money,keyword,gFZYLQnUCmE2R4XA7vtJkg
787,i lost a check i wrote to someone else and they forged my signature on the back of the check and cashed it how do i fix this?,paraphrase,9srop4MNarLCkhxDfgzHKy
788,i lost my original money receipt someone forged my signature on the back of the check and cashed it what can i do?,paraphrase,9srop4MNarLCkhxDfgzHKy
789,i lost a check i had written to people who forged my signature on the back of the check and then cashed it what should i do?,paraphrase,9srop4MNarLCkhxDfgzHKy
790,check written,keyword,9srop4MNarLCkhxDfgzHKy
791,check,keyword,9srop4MNarLCkhxDfgzHKy
792,what is loan-to-value ratio?,paraphrase,nhW6mfXEKh5mCNFKV64dKo
793,tell me the loan-to-value ratio in a vehicle loan?,paraphrase,nhW6mfXEKh5mCNFKV64dKo
794,tell me the loan-to-value ratio in auto loans?,paraphrase,nhW6mfXEKh5mCNFKV64dKo
795,auto loan,keyword,nhW6mfXEKh5mCNFKV64dKo
796,ratio,keyword,nhW6mfXEKh5mCNFKV64dKo
797,tell me the truth about lending disclosure?,paraphrase,GhNL73V3kMztKWyUaTt6No
798,tell me the truth in lending disclosure?,paraphrase,GhNL73V3kMztKWyUaTt6No
799,what is truth in lending disclosure?,paraphrase,GhNL73V3kMztKWyUaTt6No
800,Disclosure,keyword,GhNL73V3kMztKWyUaTt6No
801,i sent my bank a post-dated check when i was told about it and they didn't have it until i came back what should i do?,paraphrase,fggruKZCATzUbLfcBdZSdo
802,my bankcredit union had a post-dated check on my behalf but not before they were issued it what can i do?,paraphrase,fggruKZCATzUbLfcBdZSdo
803,credit union cashed,keyword,fggruKZCATzUbLfcBdZSdo
804,post-dated check,keyword,fggruKZCATzUbLfcBdZSdo
805,i received a check and tried to cash it at the bankcredit union that holds the account on which the check is written the bankcredit union charged me a fee for cashing a check,paraphrase,epKoS9wsN4M2ZafhWSDhwD
806,i received a check and tried to cash it at the bankcredit union that holds the account on which the check is written the bankcredit union charged me a fee for cashing a check can,paraphrase,epKoS9wsN4M2ZafhWSDhwD
807,i received a check and tried to cash it at the bankcredit union that holds the account on which the check is written the bankcredit union charged me a fee for cashing a check can ,paraphrase,epKoS9wsN4M2ZafhWSDhwD
808,credit union,keyword,epKoS9wsN4M2ZafhWSDhwD
809,credit union charged,keyword,epKoS9wsN4M2ZafhWSDhwD
810,how can i get a used car repaired?,paraphrase,5oxJppq39oC9UeBqvAwmwe
811,car,keyword,5oxJppq39oC9UeBqvAwmwe
812,dealership,keyword,5oxJppq39oC9UeBqvAwmwe
813,i found the car of my dreams but the dealer said that i have to have a down payment when i said i did not have the money the dealer said if i add a gps and a stereo he would be able to get me a loan,paraphrase,aTa7FfZHqtA5B4vfWSys7U
814,found the car,keyword,aTa7FfZHqtA5B4vfWSys7U
815,money the dealer,keyword,aTa7FfZHqtA5B4vfWSys7U
816,can you cash a check at a bank or credit union where you do not have an account?,paraphrase,8r98E7tNJfjMUdgBwgpohc
817,credit union,keyword,8r98E7tNJfjMUdgBwgpohc
818,credit union made,keyword,8r98E7tNJfjMUdgBwgpohc
819,how do i cash in checks at a bank?,paraphrase,BzqwD6kozfDo9VgaJCSKmv
820,can i cash checks at any banks?,paraphrase,BzqwD6kozfDo9VgaJCSKmv
821,can i cash a check at any bank?,paraphrase,BzqwD6kozfDo9VgaJCSKmv
822,credit union,keyword,BzqwD6kozfDo9VgaJCSKmv
823,cash a check,keyword,BzqwD6kozfDo9VgaJCSKmv
824,do i have to have social security number to open a checking account?,paraphrase,RHUY82hHgHauVSkTdNgmdV
825,can i access a checking account without a social security number?,paraphrase,RHUY82hHgHauVSkTdNgmdV
826,can a person open a checking account without social security number?,paraphrase,RHUY82hHgHauVSkTdNgmdV
827,social security number,keyword,RHUY82hHgHauVSkTdNgmdV
828,security number,keyword,RHUY82hHgHauVSkTdNgmdV
829,is it legal to open a checking account if i don't have a drivers license?,paraphrase,ZHjCf2ohHVFXL8VVfAjCkw
830,can someone open a checking account without a driver's license?,paraphrase,ZHjCf2ohHVFXL8VVfAjCkw
831,can i open a checking account without a drivers license?,paraphrase,ZHjCf2ohHVFXL8VVfAjCkw
832,driver license,keyword,ZHjCf2ohHVFXL8VVfAjCkw
833,checking account,keyword,ZHjCf2ohHVFXL8VVfAjCkw
834,is a checking account worth investing in?,paraphrase,XDTjtqTeGTZjR2r9ZJEurH
835,should i have a checking account that pays interest on an investment?,paraphrase,XDTjtqTeGTZjR2r9ZJEurH
836,is it worth getting a checking account which pays interest?,paraphrase,XDTjtqTeGTZjR2r9ZJEurH
837,pays interest,keyword,XDTjtqTeGTZjR2r9ZJEurH
838,checking account,keyword,XDTjtqTeGTZjR2r9ZJEurH
839,tell me the cost of a cd rollover from a certified deposit based on your statutory savings?,paraphrase,fhC7cmWuFt7Z2VswD7v2iq
840,is a cd rollover or renewal certificate of deposit?,paraphrase,fhC7cmWuFt7Z2VswD7v2iq
841,tell me the meaning of a cd or certificate of deposit rollover?,paraphrase,fhC7cmWuFt7Z2VswD7v2iq
842,rollover or renewal,keyword,fhC7cmWuFt7Z2VswD7v2iq
843,certificate of deposit,keyword,fhC7cmWuFt7Z2VswD7v2iq
844,can i get a low interest rate on cds?,paraphrase,RtdYLEcB6s4z6bpDK2hPgW
845,what can i do to improve the interest rate of cds?,paraphrase,RtdYLEcB6s4z6bpDK2hPgW
846,is there anything you can do about this?,paraphrase,RtdYLEcB6s4z6bpDK2hPgW
847,interest rate offered,keyword,RtdYLEcB6s4z6bpDK2hPgW
848,certificates of deposit,keyword,RtdYLEcB6s4z6bpDK2hPgW
849,what is a money market account? what is its function and scope?,paraphrase,c7ztQbaNXgrfFfdcA2fG4S
850,what's a money market account?,paraphrase,c7ztQbaNXgrfFfdcA2fG4S
851,what is a money market account?,paraphrase,c7ztQbaNXgrfFfdcA2fG4S
852,money market account,keyword,c7ztQbaNXgrfFfdcA2fG4S
853,market account,keyword,c7ztQbaNXgrfFfdcA2fG4S
854,tell me the best way to know who the lender is?,paraphrase,Ei4cG4rz3t3BxgCmyTMbQ5
855,how do i know who the loan company is?,paraphrase,Ei4cG4rz3t3BxgCmyTMbQ5
856,how do i find out who my auto loan lender is?,paraphrase,Ei4cG4rz3t3BxgCmyTMbQ5
857,auto loan lender,keyword,Ei4cG4rz3t3BxgCmyTMbQ5
858,auto loan,keyword,Ei4cG4rz3t3BxgCmyTMbQ5
859,i can't pay my loan when i do what do i do?,paraphrase,PyV3YyRWbwRcWropyWqfEp
860,what happens to a personal line of credit if it is not paid back?,paraphrase,PyV3YyRWbwRcWropyWqfEp
861,what happens if i do not repay my credit card on time?,paraphrase,PyV3YyRWbwRcWropyWqfEp
862,Line of Credit,keyword,PyV3YyRWbwRcWropyWqfEp
863,Personal Line,keyword,PyV3YyRWbwRcWropyWqfEp
864,how much late fee do auto loans incur?,paraphrase,erJsUDwU5XBf5WQMF9XNum
865,can i pay late fees in car loans?,paraphrase,erJsUDwU5XBf5WQMF9XNum
866,when does the late fee for an auto loan apply?,paraphrase,erJsUDwU5XBf5WQMF9XNum
867,late fees charged,keyword,erJsUDwU5XBf5WQMF9XNum
868,auto loan,keyword,erJsUDwU5XBf5WQMF9XNum
869,how do i get my personal credit card back?,paraphrase,oBRXaPhHPkrFMphhsEqa5C
870,can i pay back my personal loan?,paraphrase,oBRXaPhHPkrFMphhsEqa5C
871,how can you pay back your line of credit?,paraphrase,oBRXaPhHPkrFMphhsEqa5C
872,Line of Credit,keyword,oBRXaPhHPkrFMphhsEqa5C
873,Personal Line,keyword,oBRXaPhHPkrFMphhsEqa5C
874,what is a personal line of credit?,paraphrase,JJi4iyckbHCyT6W4kMd5cH
875,Line of Credit,keyword,JJi4iyckbHCyT6W4kMd5cH
876,Personal Line,keyword,JJi4iyckbHCyT6W4kMd5cH
877,what do you do if a loan exceeds your deductible or your spousefamily member is a servicemember?,paraphrase,8zG2Dsds2XcueYy9XBXoUC
878,what should i do if i have a high-interest loan that excites my loan limits?,paraphrase,8zG2Dsds2XcueYy9XBXoUC
879,family member,keyword,8zG2Dsds2XcueYy9XBXoUC
880,military or spouse,keyword,8zG2Dsds2XcueYy9XBXoUC
881,how can a veteran get a car abroad if he is stationed overseas?,paraphrase,iL9AV4FopPVxCa7LJDKKbC
882,can a servicemember purchase a new vehicle from overseas?,paraphrase,iL9AV4FopPVxCa7LJDKKbC
883,if i go overseas will i be able to take my car with me?,paraphrase,iL9AV4FopPVxCa7LJDKKbC
884,servicemember planning,keyword,iL9AV4FopPVxCa7LJDKKbC
885,planning to buy,keyword,iL9AV4FopPVxCa7LJDKKbC
886,how can i pay off my loan with no penalty?,paraphrase,AHmdZjxaNZ47iG85U9L5BL
887,can i prepay my loan with no penalty?,paraphrase,AHmdZjxaNZ47iG85U9L5BL
888,is it possible to prepay my mortgage loan at any time without penalty?,paraphrase,AHmdZjxaNZ47iG85U9L5BL
889,time without penalty,keyword,AHmdZjxaNZ47iG85U9L5BL
890,prepay my loan,keyword,AHmdZjxaNZ47iG85U9L5BL
891,tell me the difference between paying interest on an auto loan and paying off the principal?,paraphrase,fXprdZe3ZwdmiSdUdVPvRg
892,tell me the difference between paying interest on a car loan and paying off the principal?,paraphrase,fXprdZe3ZwdmiSdUdVPvRg
893,can i pay interest instead of paying off my principal on my auto loan?,paraphrase,fXprdZe3ZwdmiSdUdVPvRg
894,auto loan,keyword,fXprdZe3ZwdmiSdUdVPvRg
895,paying interest,keyword,fXprdZe3ZwdmiSdUdVPvRg
896,i am having problems with making my auto loan payments how do i fix this?,paraphrase,cUQV8w9vCk3vWXiVzLDkQc
897,how do you make payments on auto loans?,paraphrase,cUQV8w9vCk3vWXiVzLDkQc
898,is it possible to make payment for auto loans?,paraphrase,cUQV8w9vCk3vWXiVzLDkQc
899,auto loan payments,keyword,cUQV8w9vCk3vWXiVzLDkQc
900,loan payments,keyword,cUQV8w9vCk3vWXiVzLDkQc
901,can i cancel my military contract and pay no early termination fee?,paraphrase,JUM3qQ6ygaE5cL9sbdG77f
902,can you cancel your auto lease if you are ordered to go overseas or deploy?,paraphrase,JUM3qQ6ygaE5cL9sbdG77f
903,can i cancel my auto lease if i go overseas and i have an order to deploy?,paraphrase,JUM3qQ6ygaE5cL9sbdG77f
904,auto lease,keyword,JUM3qQ6ygaE5cL9sbdG77f
905,auto,keyword,JUM3qQ6ygaE5cL9sbdG77f
906,will the loan affect my credit report?,paraphrase,ePuFKmoMMdg4TFuh2tdXmt
907,what should i do if the lender takes my vehicle and offers to just pay back the loan?,paraphrase,ePuFKmoMMdg4TFuh2tdXmt
908,what happens if the lender is offering to take the car back and forgive the loan?,paraphrase,ePuFKmoMMdg4TFuh2tdXmt
909,forgive the loan,keyword,ePuFKmoMMdg4TFuh2tdXmt
910,lender offers,keyword,ePuFKmoMMdg4TFuh2tdXmt
911,what happens if a credit check officer finds out i have a late payment for a loan?,paraphrase,BLgTGfBWEBQzck3cFU7DpQ
912,what happens if you late pay a loan or have your car repossessed?,paraphrase,BLgTGfBWEBQzck3cFU7DpQ
913,what happens to my credit report when i don't pay for my auto loan or when my car has been repossessed?,paraphrase,BLgTGfBWEBQzck3cFU7DpQ
914,late making payments,keyword,BLgTGfBWEBQzck3cFU7DpQ
915,car is repossessed,keyword,BLgTGfBWEBQzck3cFU7DpQ
916,what should i do if i get collections calls?,paraphrase,SFfpbHqerFH4gHiCVsi9yd
917,i get calls from collection what should i do?,paraphrase,SFfpbHqerFH4gHiCVsi9yd
918,how do i get collection calls?,paraphrase,SFfpbHqerFH4gHiCVsi9yd
919,collection calls,keyword,SFfpbHqerFH4gHiCVsi9yd
920,calls,keyword,SFfpbHqerFH4gHiCVsi9yd
921,tell me the difference between buy here pay here auto loan and no credit check loan?,paraphrase,h6RhihYnKDVCMnWc2TbAKS
922,how does it differ from a regular auto loan?,paraphrase,h6RhihYnKDVCMnWc2TbAKS
923,what does a no credit check auto loan cost?,paraphrase,h6RhihYnKDVCMnWc2TbAKS
924,auto loan,keyword,h6RhihYnKDVCMnWc2TbAKS
925,credit check,keyword,h6RhihYnKDVCMnWc2TbAKS
926,what if i left my vehicle behind?,paraphrase,EfL53cJ564uWGLNpaRkiXt
927,what happens to my personal possessions when i leave one in my car?,paraphrase,EfL53cJ564uWGLNpaRkiXt
928,what happens to personal possessions left in vehicles after they've been repossessed?,paraphrase,EfL53cJ564uWGLNpaRkiXt
929,personal possessions,keyword,EfL53cJ564uWGLNpaRkiXt
930,repossessed,keyword,EfL53cJ564uWGLNpaRkiXt
931,tell me the best option for someone who is looking for a car to sell?,paraphrase,ktq5ZmiKPwjfjqe2pkfHTW
932,i was told my car will be sold if it was repossessed what should i do?,paraphrase,ktq5ZmiKPwjfjqe2pkfHTW
933,what can i do if my car has been seized by someone and will be sold?,paraphrase,ktq5ZmiKPwjfjqe2pkfHTW
934,repossessed,keyword,ktq5ZmiKPwjfjqe2pkfHTW
935,sold,keyword,ktq5ZmiKPwjfjqe2pkfHTW
936,when i reviewed my application for a car loan that i just applied for i noticed i was listed at higher rank than i really am is it a problem?,paraphrase,i2nemDTQAFeNUfKQ6B4SyW
937,i am a servicemember that just applied for an auto loan and i noticed that it listed me at a higher rank than i really am is this a problem?,paraphrase,i2nemDTQAFeNUfKQ6B4SyW
938,i am a service member who just applied for an auto loan when i reviewed the paperwork i noticed that i was listed at a higher rank than i really am is this a problem?,paraphrase,i2nemDTQAFeNUfKQ6B4SyW
939,auto loan,keyword,i2nemDTQAFeNUfKQ6B4SyW
940,loan,keyword,i2nemDTQAFeNUfKQ6B4SyW
941,what does force-placed insurance mean?,paraphrase,oBZoPpSnfFBkKyD8RvwhwP
942,tell me the force-placed insurance?,paraphrase,oBZoPpSnfFBkKyD8RvwhwP
943,what is force-placed insurance?,paraphrase,oBZoPpSnfFBkKyD8RvwhwP
944,force-placed insurance,keyword,oBZoPpSnfFBkKyD8RvwhwP
945,insurance,keyword,oBZoPpSnfFBkKyD8RvwhwP
946,can i still cash a check that someone forgot to sign?,paraphrase,WVmZTSz3fdoAzg7trbuZBH
947,how do i cash a check that someone forgot to sign?,paraphrase,WVmZTSz3fdoAzg7trbuZBH
948,i just received a check and forgot to sign it can i still get one?,paraphrase,WVmZTSz3fdoAzg7trbuZBH
949,forgot to sign,keyword,WVmZTSz3fdoAzg7trbuZBH
950,received a check,keyword,WVmZTSz3fdoAzg7trbuZBH
951,how does a bank cash a post-dated check?,paraphrase,LRX7GAMvDMpGJvHFGqQjav
952,can a bank or credit union cash a check before the date on the check?,paraphrase,LRX7GAMvDMpGJvHFGqQjav
953,can a credit union pay a post-dated check before the date on the check?,paraphrase,LRX7GAMvDMpGJvHFGqQjav
954,credit union cash,keyword,LRX7GAMvDMpGJvHFGqQjav
955,bank or credit,keyword,LRX7GAMvDMpGJvHFGqQjav
956,I received a check where the words and the numbers for the amount are different. Is this check valid and for how much?,paraphrase,Gu4YpaNeNPHMpMVDHhzUSy
957,received a check,keyword,Gu4YpaNeNPHMpMVDHhzUSy
958,check,keyword,Gu4YpaNeNPHMpMVDHhzUSy
959,tell me the cost of down payment on an auto loan?,paraphrase,B7TkRnaVynZoBwvNwGnxKH
960,how can a down payment affect the loan?,paraphrase,B7TkRnaVynZoBwvNwGnxKH
961,how do down payments affect your auto loan?,paraphrase,B7TkRnaVynZoBwvNwGnxKH
962,auto loan,keyword,B7TkRnaVynZoBwvNwGnxKH
963,payment affect,keyword,B7TkRnaVynZoBwvNwGnxKH
964,how do i get a clue for the value of a car i am just swapping in?,paraphrase,cwJejANSp5Ju5P68FmWQoH
965,how do you determine if your vehicle is worth what it is worth?,paraphrase,cwJejANSp5Ju5P68FmWQoH
966,tell me the value of a used vehicle?,paraphrase,cwJejANSp5Ju5P68FmWQoH
967,vehicle is worth,keyword,cwJejANSp5Ju5P68FmWQoH
968,trade-in vehicle,keyword,cwJejANSp5Ju5P68FmWQoH
969,how often do banks and credit unions have to send out statements to the checking accounts in my accounts?,paraphrase,Prcgr9eg3nJiNFn4UYHDf4
970,do banks send me monthly statements on my checking account?,paraphrase,Prcgr9eg3nJiNFn4UYHDf4
971,is it necessary for a credit union to send a monthly statement to your checking account?,paraphrase,Prcgr9eg3nJiNFn4UYHDf4
972,credit union,keyword,Prcgr9eg3nJiNFn4UYHDf4
973,checking account,keyword,Prcgr9eg3nJiNFn4UYHDf4
974,i opened a free checking account i received a notice from the bankcredit union that it had decided to start charging monthly fees what would the bankcredit union do,paraphrase,kr2cag9ExiwKnEhcaMjYkG
975,i opened a free checking account i received a notice from the bankcredit union that they decided to charge monthly fees can the bankcredit union do this?,paraphrase,kr2cag9ExiwKnEhcaMjYkG
976,i opened a free checking account and i receive a notification from the bankcredit union saying that it had decided to start charging monthly fees can the bankcredit union do this?,paraphrase,kr2cag9ExiwKnEhcaMjYkG
977,checking account,keyword,kr2cag9ExiwKnEhcaMjYkG
978,free,keyword,kr2cag9ExiwKnEhcaMjYkG
979,what does it take for an advertiser to qualify for an 0 for auto financing?,paraphrase,nrHoQgAiZaMnHFLorkmeZ4
980,how can i qualify for pre-paid credit for auto finance?,paraphrase,nrHoQgAiZaMnHFLorkmeZ4
981,how does one qualify for an advertised 0 auto loan?,paraphrase,nrHoQgAiZaMnHFLorkmeZ4
982,auto financing,keyword,nrHoQgAiZaMnHFLorkmeZ4
983,advertised,keyword,nrHoQgAiZaMnHFLorkmeZ4
984,tell me the incentive scheme of manufacturers?,paraphrase,5cKazbDVxPjffVLhAg3F83
985,list the various incentives for manufacturers?,paraphrase,5cKazbDVxPjffVLhAg3F83
986,what is manufacturer incentives?,paraphrase,5cKazbDVxPjffVLhAg3F83
987,manufacturer incentives,keyword,5cKazbDVxPjffVLhAg3F83
988,incentives,keyword,5cKazbDVxPjffVLhAg3F83
989,is an auto loan really going to help to improve my credit score?,paraphrase,ciUtTUwceqq57h23389mgT
990,how does a bad credit auto loan help you in repairing your credit?,paraphrase,ciUtTUwceqq57h23389mgT
991,how do auto loans help improve credit?,paraphrase,ciUtTUwceqq57h23389mgT
992,rebuild my credit,keyword,ciUtTUwceqq57h23389mgT
993,auto loan,keyword,ciUtTUwceqq57h23389mgT
994,should i have car insurance pre-approved for financing before buying a vehicle?,paraphrase,CFkfkm2fpDNFV7gZLxJPxE
995,should i have car insurance or should i get one before buying a car?,paraphrase,CFkfkm2fpDNFV7gZLxJPxE
996,should we have car insurance before we buy it?,paraphrase,CFkfkm2fpDNFV7gZLxJPxE
997,car insurance lined,keyword,CFkfkm2fpDNFV7gZLxJPxE
998,purchase a vehicle,keyword,CFkfkm2fpDNFV7gZLxJPxE
999,do i have to get my loan from a dealer to apply for my loan?,paraphrase,kTm8fvmkmjyAiBvLBR8ueU
1000,is there any requirement to borrow from a dealer?,paraphrase,kTm8fvmkmjyAiBvLBR8ueU
1001,do i need to apply for a loan from the dealer?,paraphrase,kTm8fvmkmjyAiBvLBR8ueU
1002,dealer,keyword,kTm8fvmkmjyAiBvLBR8ueU
1003,loan,keyword,kTm8fvmkmjyAiBvLBR8ueU
1004,can i negotiate on an auto loan interest rates with the dealer?,paraphrase,Ce6YLFxQBJbjEYsW94FmHV
1005,can a dealer negotiate an interest rate on an auto loan?,paraphrase,Ce6YLFxQBJbjEYsW94FmHV
1006,can i negotiate interest rates on a vehicle loan with the dealer?,paraphrase,Ce6YLFxQBJbjEYsW94FmHV
1007,negotiate the interest,keyword,Ce6YLFxQBJbjEYsW94FmHV
1008,interest rate,keyword,Ce6YLFxQBJbjEYsW94FmHV
1009,what is credit insurance?,paraphrase,o4WqzW2AGnCe3eL6k278nx
1010,list the benefits of credit insurance for a car loan?,paraphrase,o4WqzW2AGnCe3eL6k278nx
1011,can i take credit insurance on an auto loan?,paraphrase,o4WqzW2AGnCe3eL6k278nx
1012,auto loan,keyword,o4WqzW2AGnCe3eL6k278nx
1013,credit insurance,keyword,o4WqzW2AGnCe3eL6k278nx
1014,tell me the best auto loan cancellation or repayment program?,paraphrase,F6CsdJw8nJ52kCaTM9SFCg
1015,what are debt cancellation options?,paraphrase,F6CsdJw8nJ52kCaTM9SFCg
1016,what are various products that can be used to cancel an auto loan?,paraphrase,F6CsdJw8nJ52kCaTM9SFCg
1017,suspension products offered,keyword,F6CsdJw8nJ52kCaTM9SFCg
1018,debt suspension products,keyword,F6CsdJw8nJ52kCaTM9SFCg
1019,can a bank or credit union refund my deposit and fees for the checking account?,paraphrase,RzZQZNZoTvCB95pAWVr9CY
1020,can your bank or credit union change the fees charged on my account?,paraphrase,RzZQZNZoTvCB95pAWVr9CY
1021,if a credit union charge you to open a free checking account can i make it work?,paraphrase,RzZQZNZoTvCB95pAWVr9CY
1022,checking account,keyword,RzZQZNZoTvCB95pAWVr9CY
1023,fees charged,keyword,RzZQZNZoTvCB95pAWVr9CY
1024,will an auto loan need extended warranties?,paraphrase,E2fW5hCLT2WaYXGSNbx7XX
1025,is an auto loan guaranteed with extended warranty?,paraphrase,E2fW5hCLT2WaYXGSNbx7XX
